Name,Site,Year,Generation,S0_ID,Region,PrePeak
Sweetwater,S02,2010,S0,1,South,Pre
Sweetwater,S02,2010,S0,3,South,Pre
Sweetwater,S02,2010,S0,4,South,Pre
Sweetwater,S02,2010,S0,6,South,Pre
Sweetwater,S02,2010,S0,7,South,Pre
Sweetwater,S02,2014,S0,28,South,Peak
Sweetwater,S02,2014,S0,29,South,Peak
Sweetwater,S02,2014,S0,32,South,Peak
Sweetwater,S02,2014,S0,35,South,Peak
Sweetwater,S02,2014,S0,37,South,Peak
West Fork,S07,2010,S0,39A,South,Pre
West Fork,S07,2010,S0,39B,South,Pre
West Fork,S07,2010,S0,38,South,Pre
West Fork,S07,2010,S0,40,South,Pre
West Fork,S07,2010,S0,41,South,Pre
West Fork,S07,2014,S0,49,South,Peak
West Fork,S07,2014,S0,51,South,Peak
West Fork,S07,2014,S0,52,South,Peak
West Fork,S07,2014,S0,54,South,Peak
West Fork,S07,2014,S0,57,South,Peak
Rock Creek,S15,2010,S0,148,North,Pre
Rock Creek,S15,2010,S0,152,North,Pre
Rock Creek,S15,2010,S0,153,North,Pre
Rock Creek,S15,2010,S0,154,North,Pre
Rock Creek,S15,2010,S0,155,North,Pre
Rock Creek,S15,2015,S0,164,North,Peak
Rock Creek,S15,2015,S0,166,North,Peak
Rock Creek,S15,2015,S0,167,North,Peak
Rock Creek,S15,2015,S0,170,North,Peak
Rock Creek,S15,2015,S0,172,North,Peak
Deer Creek,S36,2011,S0,342,North,Pre
Deer Creek,S36,2011,S0,343,North,Pre
Deer Creek,S36,2011,S0,344,North,Pre
Deer Creek,S36,2011,S0,345,North,Pre
Deer Creek,S36,2011,S0,349,North,Pre
Deer Creek,S36,2015,S0,371,North,Peak
Deer Creek,S36,2015,S0,372,North,Peak
Deer Creek,S36,2015,S0,373,North,Peak
Deer Creek,S36,2015,S0,374,North,Peak
Deer Creek,S36,2015,S0,375,North,Peak
