S0_ID,S1_ID,S0_trt,S1_trt,ID
1,1000,W,D,2000
1,1000,W,W,2003
1,1001,W,D,2006
1,1001,W,W,2009
1,1002,W,D,2012
1,1002,W,W,2015
1,1003,D,D,2018
1,1003,D,W,2021
1,1004,D,D,2024
1,1004,D,W,2027
1,1005,D,D,2030
1,1005,D,W,2033
3,1006,W,D,2036
3,1006,W,W,2039
3,1007,W,D,2042
3,1007,W,W,2045
3,1008,W,D,2048
3,1008,W,W,2051
3,1009,D,D,2054
3,1009,D,W,2057
3,1010,D,D,2060
3,1010,D,W,2063
3,1011,D,D,2066
3,1011,D,W,2069
4,1012,W,D,2072
4,1012,W,W,2075
4,1013,W,D,2078
4,1013,W,W,2081
4,1014,W,D,2084
4,1014,W,W,2087
4,1015,D,D,2090
4,1015,D,W,2093
4,1016,D,D,2096
4,1016,D,W,2099
4,1017,D,D,2102
4,1017,D,W,2105
6,1018,W,D,2108
6,1018,W,W,2111
6,1019,W,D,2114
6,1019,W,W,2117
6,1020,W,D,2120
6,1020,W,W,2123
6,1021,D,D,2126
6,1021,D,W,2129
6,1022,D,D,2132
6,1022,D,W,2135
6,1023,D,D,2138
6,1023,D,W,2141
7,1024,W,D,2144
7,1024,W,W,2147
7,1025,W,D,2150
7,1025,W,W,2153
7,1026,W,D,2156
7,1026,W,W,2159
7,1027,D,D,2162
7,1027,D,W,2165
7,1028,D,D,2168
7,1028,D,W,2171
7,1029,D,D,2174
7,1029,D,W,2177
28,1030,W,D,2180
28,1030,W,W,2183
28,1031,W,D,2186
28,1031,W,W,2189
28,1032,W,D,2192
28,1032,W,W,2195
28,1033,D,D,2198
28,1033,D,W,2201
28,1034,D,D,2204
28,1034,D,W,2207
28,1035,D,D,2210
28,1035,D,W,2213
29,1036,W,D,2216
29,1036,W,W,2219
29,1037,W,D,2222
29,1037,W,W,2225
29,1038,W,D,2228
29,1038,W,W,2231
29,1039,D,D,2234
29,1039,D,W,2237
29,1040,D,D,2240
29,1040,D,W,2243
29,1041,D,D,2246
29,1041,D,W,2249
32,1042,W,D,2252
32,1042,W,W,2255
32,1043,W,D,2258
32,1043,W,W,2261
32,1044,W,D,2264
32,1044,W,W,2267
32,1045,D,D,2270
32,1045,D,W,2273
32,1046,D,D,2276
32,1046,D,W,2279
32,1047,D,D,2282
32,1047,D,W,2285
35,1048,W,D,2288
35,1048,W,W,2291
35,1049,W,D,2294
35,1049,W,W,2297
35,1050,W,D,2300
35,1050,W,W,2303
35,1051,D,D,2306
35,1051,D,W,2309
35,1052,D,D,2312
35,1052,D,W,2315
35,1053,D,D,2318
35,1053,D,W,2321
37,1054,W,D,2324
37,1054,W,W,2327
37,1055,W,D,2330
37,1055,W,W,2333
37,1056,W,D,2336
37,1056,W,W,2339
37,1057,D,D,2342
37,1057,D,W,2345
37,1058,D,D,2348
37,1058,D,W,2351
37,1059,D,D,2354
37,1059,D,W,2357
38,1060,W,D,2360
38,1060,W,W,2363
38,1061,W,D,2366
38,1061,W,W,2369
38,1062,W,D,2372
38,1062,W,W,2375
38,1063,D,D,2378
38,1063,D,W,2381
38,1064,D,D,2384
38,1064,D,W,2387
38,1065,D,D,2390
38,1065,D,W,2393
39A,1066,W,D,2396
39A,1066,W,W,2399
39A,1067,W,D,2402
39A,1067,W,W,2405
39A,1068,W,D,2408
39A,1068,W,W,2411
39A,1069,D,D,2414
39A,1069,D,W,2417
39A,1070,D,D,2420
39A,1070,D,W,2423
39A,1071,D,D,2426
39A,1071,D,W,2429
39B,1072,W,D,2432
39B,1072,W,W,2435
39B,1073,W,D,2438
39B,1073,W,W,2441
39B,1074,W,D,2444
39B,1074,W,W,2447
39B,1075,D,D,2450
39B,1075,D,W,2453
39B,1076,D,D,2456
39B,1076,D,W,2459
39B,1077,D,D,2462
39B,1077,D,W,2465
40,1078,W,D,2468
40,1078,W,W,2471
40,1079,W,D,2474
40,1079,W,W,2477
40,1080,W,D,2480
40,1080,W,W,2483
40,1081,D,D,2486
40,1081,D,W,2489
40,1082,D,D,2492
40,1082,D,W,2495
40,1083,D,D,2498
40,1083,D,W,2501
41,1084,W,D,2504
41,1084,W,W,2507
41,1085,W,D,2510
41,1085,W,W,2513
41,1086,W,D,2516
41,1086,W,W,2519
41,1087,D,D,2522
41,1087,D,W,2525
41,1088,D,D,2528
41,1088,D,W,2531
41,1089,D,D,2534
41,1089,D,W,2537
49,1090,W,D,2540
49,1090,W,W,2543
49,1091,W,D,2546
49,1091,W,W,2549
49,1092,W,D,2552
49,1092,W,W,2555
49,1093,D,D,2558
49,1093,D,W,2561
49,1094,D,D,2564
49,1094,D,W,2567
49,1095,D,D,2570
49,1095,D,W,2573
51,1096,W,D,2576
51,1096,W,W,2579
51,1097,W,D,2582
51,1097,W,W,2585
51,1098,W,D,2588
51,1098,W,W,2591
51,1099,D,D,2594
51,1099,D,W,2597
51,1100,D,D,2600
51,1100,D,W,2603
51,1101,D,D,2606
51,1101,D,W,2609
52,1102,W,D,2612
52,1102,W,W,2615
52,1103,W,D,2618
52,1103,W,W,2621
52,1104,W,D,2624
52,1104,W,W,2627
52,1105,D,D,2630
52,1105,D,W,2633
52,1106,D,D,2636
52,1106,D,W,2639
52,1107,D,D,2642
52,1107,D,W,2645
54,1108,W,D,2648
54,1108,W,W,2651
54,1109,W,D,2654
54,1109,W,W,2657
54,1110,W,D,2660
54,1110,W,W,2663
54,1111,D,D,2666
54,1111,D,W,2669
54,1112,D,D,2672
54,1112,D,W,2675
54,1113,D,D,2678
54,1113,D,W,2681
57,1114,W,D,2684
57,1114,W,W,2687
57,1115,W,D,2690
57,1115,W,W,2693
57,1116,W,D,2696
57,1116,W,W,2699
57,1117,D,D,2702
57,1117,D,W,2705
57,1118,D,D,2708
57,1118,D,W,2711
57,1119,D,D,2714
57,1119,D,W,2717
148,1120,W,D,2720
148,1120,W,W,2723
148,1121,W,D,2726
148,1121,W,W,2729
148,1122,W,D,2732
148,1122,W,W,2735
148,1123,D,D,2738
148,1123,D,W,2741
148,1124,D,D,2744
148,1124,D,W,2747
148,1125,D,D,2750
148,1125,D,W,2753
152,1126,W,D,2756
152,1126,W,W,2759
152,1127,W,D,2762
152,1127,W,W,2765
152,1128,W,D,2768
152,1128,W,W,2771
152,1129,D,D,2774
152,1129,D,W,2777
152,1130,D,D,2780
152,1130,D,W,2783
152,1131,D,D,2786
152,1131,D,W,2789
153,1132,W,D,2792
153,1132,W,W,2795
153,1133,W,D,2798
153,1133,W,W,2801
153,1134,W,D,2804
153,1134,W,W,2807
153,1135,D,D,2810
153,1135,D,W,2813
153,1136,D,D,2816
153,1136,D,W,2819
153,1137,D,D,2822
153,1137,D,W,2825
154,1138,W,D,2828
154,1138,W,W,2831
154,1139,W,D,2834
154,1139,W,W,2837
